issue_id,table_name,issue_name,issue_description,affected_rows,total_rows,affected_pct,severity,affected_teams,metric_bias,proposed_fix,fix_status,human_judgement_required
DQ01,orders,status_casing_typo_variants,"status has casing/typo variants outside the canonical set: 'DELIVERED','Delivered','delivrd'.",79,15000,0.5267,HIGH,"Restaurants, Couriers, Support, Finance","Variants split 'delivered' into 4 buckets -> delivery_rate, revenue and on-time % all under-count.","lower+trim, map 'delivrd'->'delivered' (deterministic, safe).",fixed,False
DQ02,orders,accepted_after_pickup,accepted_ts is later than picked_up_ts (impossible ordering).,33,15000,0.22,MEDIUM,"Restaurants, Couriers",Negative/garbage prep duration biases avg prep-time accuracy.,Flag has_temporal_issue; exclude from prep/delivery timing metrics.,flagged,False
DQ03,orders,pickup_after_delivery,picked_up_ts is later than delivered_ts (impossible ordering).,65,15000,0.4333,MEDIUM,Couriers,Negative pickup->delivery minutes inflate/!corrupt courier speed metrics.,Flag has_temporal_issue; exclude from delivery-timing metrics.,flagged,False
DQ04,orders,delivered_ts_on_non_delivered,delivered_ts is populated although the order is not in a delivered status.,20,15000,0.1333,MEDIUM,"Couriers, Support",Phantom deliveries would over-count completed deliveries if delivered_ts were trusted blindly.,"Trust normalized_status, not raw delivered_ts; flag the conflict.",flagged,False
DQ05,orders,total_not_equal_subtotal_minus_discount,total differs from subtotal - discount beyond a 0.01 tolerance (penny rounding drift).,92,15000,0.6133,LOW,Finance,Tiny per-order revenue drift; negligible in aggregate but visible in reconciliation.,"Keep raw values; flag has_amount_drift; reconcile to payments, not arithmetic.",flagged,False
DQ06,payments,success_payment_total_ne_order_total,sum of successful payments for an order does not match the order total (tolerance 0.01).,130,15000,0.8667,MEDIUM,"Finance, Payments",GMV vs collected-cash mismatch; refund/partial-capture leakage if ignored.,Flag has_payment_mismatch; report cash-vs-GMV gap separately.,flagged,False
DQ07,orders,rating_on_non_delivered,a customer rating exists for an order that was never delivered.,54,15000,0.36,LOW,"Restaurants, Product",Ratings on cancelled/rejected orders would skew restaurant rating averages.,Only count ratings for delivered orders in rating metrics.,flagged,False
DQ08,promo_codes,promo_campaign_orphan,promo_codes.campaign_id references a campaign_id absent from marketing_campaigns.,10,210,4.7619,MEDIUM,Marketing,Orphan promos cannot be attributed to a campaign -> campaign ROI is understated.,Flag orphan promos; exclude from campaign roll-ups; chase source fix upstream.,flagged,False
DQ09,promo_codes,current_uses_gt_max_uses,current_uses exceeds max_uses (a redemption cap was breached or counter is wrong).,5,210,2.381,MEDIUM,"Marketing, Finance",Over-redeemed promos mean unbudgeted discount spend.,Flag for finance review; do not auto-cap historical facts.,flagged,False
DQ10,promo_codes,current_uses_ne_observed,the static current_uses counter disagrees with redemptions actually observed in orders.,209,210,99.5238,LOW,Marketing,current_uses is a snapshot; trusting it over observed orders mis-states redemption rate.,Prefer observed redemptions from fact_orders_clean over the snapshot counter.,documented_not_fixed,True
DQ11,orders,order_city_ne_restaurant_city,order.city differs from the restaurant's registered city.,14,15000,0.0933,MEDIUM,"Restaurants, Couriers, Marketing (geo)","Could be a legitimate cross-border delivery, a multi-city brand, or a data error. Auto-rewriting city would corrupt geo metrics either way.",Surface has_city_mismatch=true and let ops decide the source of truth per case.,documented_not_fixed,True
DQ12,orders,promo_used_outside_validity_window,"an order used a promo whose placed_ts falls outside [valid_from, valid_to] (date-only window, +1d grace).",1162,2707,42.9257,MEDIUM,"Marketing, Finance",Either promos were honored past expiry (revenue leakage) OR validity dates are stored date-only and the business allows same-day grace. The rule is genuinely ambiguous.,Quantify and escalate to Marketing to confirm the real validity rule before enforcing.,documented_not_fixed,True
DQ13,support_tickets,support_source_missing,the scenario references customer-support tickets but no support_tickets.csv is provided.,15000,15000,100.0,HIGH,Support,Real ticket-rate / complaint-category metrics are impossible; only proxies can be computed.,Document the gap; compute refund/cancellation/payment-issue PROXIES and label them clearly.,documented_not_fixed,True
DQ14,app_events,impression_source_missing,"app_events has no campaign_id or impression events, so ad exposure is unobservable.",80000,80000,100.0,HIGH,Marketing,Campaign impressions and true conversion (impression->order) cannot be computed.,Set impressions = NULL; report redemptions / revenue / cost-per-redeemed-order instead.,documented_not_fixed,True
