courier_id,courier_vehicle,courier_city,order_date,deliveries_count,avg_delivery_minutes,avg_total_order_minutes,on_time_deliveries,late_deliveries,shift_hours,on_time_pct,deliveries_per_shift_hour
C00252,bike,KPN,2026-04-28,1,14.0,34.0,1,0,8,1.0,0.125
C00010,car,YVN,2026-04-05,1,23.0,53.0,0,1,7,0.0,0.143
C00293,car,KPN,2026-04-04,4,20.0,37.75,3,1,8,0.75,0.5
C00188,car,KPN,2026-04-19,2,18.5,41.0,2,0,9,1.0,0.222
C00173,car,VND,2026-05-24,2,14.5,35.0,1,1,9,0.5,0.222
C00276,scooter,KPN,2026-04-28,1,15.0,47.0,0,1,10,0.0,0.1
C00128,bike,KPN,2026-04-13,2,23.0,49.0,1,1,9,0.5,0.222
C00041,car,YVN,2026-04-03,1,39.0,60.0,0,1,6,0.0,0.167
C00270,bike,YVN,2026-05-26,1,19.0,35.0,1,0,9,1.0,0.111
C00017,bike,YVN,2026-05-26,2,13.5,30.0,2,0,6,1.0,0.333
C00235,scooter,YVN,2026-05-13,1,37.0,55.0,0,1,10,0.0,0.1
C00018,car,KPN,2026-04-19,3,32.33,60.33,0,3,8,0.0,0.375
C00256,scooter,DLJ,2026-05-05,2,33.5,53.0,1,1,6,0.5,0.333
C00214,car,YVN,2026-04-13,2,26.5,51.5,1,1,10,0.5,0.2
C00265,scooter,YVN,2026-05-12,1,35.0,60.0,0,1,7,0.0,0.143
C00140,scooter,YVN,2026-04-20,1,34.0,56.0,0,1,10,0.0,0.1
C00078,bike,YVN,2026-05-12,2,20.5,43.0,1,1,7,0.5,0.286
C00290,bike,YVN,2026-04-14,1,19.0,31.0,1,0,6,1.0,0.167
C00088,car,KPN,2026-04-22,3,26.0,47.33,1,2,9,0.3333,0.333
C00120,scooter,YVN,2026-05-07,3,25.33,46.33,1,2,6,0.3333,0.5
C00263,scooter,YVN,2026-04-29,1,30.0,68.0,0,1,8,0.0,0.125
C00112,bike,YVN,2026-05-14,1,9.0,32.0,1,0,9,1.0,0.111
C00177,scooter,YVN,2026-05-08,2,20.5,38.5,2,0,6,1.0,0.333
C00241,bike,YVN,2026-05-04,2,19.0,41.0,1,1,10,0.5,0.2
C00086,bike,VND,2026-04-12,2,20.5,42.0,1,1,9,0.5,0.222
C00039,car,YVN,2026-05-16,2,21.0,38.5,2,0,7,1.0,0.286
C00004,scooter,KPN,2026-04-18,1,12.0,36.0,1,0,9,1.0,0.111
C00101,car,YVN,2026-05-22,1,36.0,71.0,0,1,7,0.0,0.143
C00189,bike,GYU,2026-04-10,2,23.0,45.5,1,1,8,0.5,0.25
C00256,scooter,DLJ,2026-04-23,4,20.75,40.0,3,1,6,0.75,0.667
C00119,bike,YVN,2026-04-12,1,23.0,53.0,0,1,9,0.0,0.111
C00093,bike,YVN,2026-04-14,2,29.5,52.0,1,1,6,0.5,0.333
C00230,scooter,YVN,2026-04-24,1,24.0,56.0,0,1,9,0.0,0.111
C00242,bike,YVN,2026-04-29,1,26.0,39.0,1,0,8,1.0,0.125
C00131,bike,VND,2026-04-22,2,31.0,57.0,0,2,7,0.0,0.286
C00118,scooter,VND,2026-03-31,3,36.67,64.67,0,3,9,0.0,0.333
C00016,car,KPN,2026-05-14,2,14.0,31.0,2,0,6,1.0,0.333
C00134,bike,KPN,2026-04-05,1,35.0,52.0,0,1,6,0.0,0.167
C00105,bike,VND,2026-04-02,2,33.0,57.0,0,2,10,0.0,0.2
C00120,scooter,YVN,2026-05-08,1,34.0,58.0,0,1,6,0.0,0.167
C00125,scooter,GYU,2026-03-31,2,10.0,33.5,2,0,8,1.0,0.25
C00080,scooter,YVN,2026-04-25,1,24.0,59.0,0,1,8,0.0,0.125
C00064,bike,YVN,2026-05-04,1,19.0,31.0,1,0,10,1.0,0.1
C00005,bike,YVN,2026-05-19,1,9.0,35.0,1,0,7,1.0,0.143
C00182,bike,YVN,2026-04-03,2,25.5,45.5,1,1,10,0.5,0.2
C00126,scooter,YVN,2026-05-22,3,24.33,42.33,2,1,9,0.6667,0.333
C00138,scooter,YVN,2026-05-15,2,17.0,43.0,1,1,10,0.5,0.2
C00023,car,YVN,2026-05-07,3,16.33,40.67,3,0,8,1.0,0.375
C00174,car,YVN,2026-05-22,1,33.0,51.0,0,1,8,0.0,0.125
C00208,bike,YVN,2026-05-03,1,8.0,40.0,1,0,9,1.0,0.111
C00025,scooter,YVN,2026-04-28,2,19.0,42.5,2,0,6,1.0,0.333
C00054,scooter,YVN,2026-04-08,1,33.0,59.0,0,1,7,0.0,0.143
C00134,bike,KPN,2026-04-01,2,26.0,51.5,1,1,6,0.5,0.333
C00293,car,KPN,2026-04-11,2,18.0,39.0,2,0,8,1.0,0.25
C00188,car,KPN,2026-05-26,2,27.5,48.5,1,1,9,0.5,0.222
C00268,bike,DLJ,2026-05-02,3,18.33,38.33,2,1,10,0.6667,0.3
C00262,car,DLJ,2026-04-09,3,16.67,33.0,2,1,7,0.6667,0.429
C00035,car,YVN,2026-05-22,3,32.33,55.0,1,2,10,0.3333,0.3
C00089,bike,YVN,2026-05-22,1,22.0,37.0,1,0,8,1.0,0.125
C00288,bike,YVN,2026-05-06,3,19.33,44.33,2,1,9,0.6667,0.333
C00154,bike,GYU,2026-04-13,2,28.0,55.5,0,2,10,0.0,0.2
C00205,bike,VND,2026-05-26,1,30.0,58.0,0,1,7,0.0,0.143
C00191,scooter,YVN,2026-04-21,2,26.0,51.5,1,1,9,0.5,0.222
C00279,car,YVN,2026-05-06,1,15.0,27.0,1,0,8,1.0,0.125
C00261,scooter,YVN,2026-04-29,3,28.0,59.0,0,3,6,0.0,0.5
C00179,scooter,YVN,2026-04-02,1,14.0,24.0,1,0,6,1.0,0.167
C00017,bike,YVN,2026-04-16,1,23.0,46.0,0,1,6,0.0,0.167
C00281,bike,GYU,2026-05-23,2,11.5,40.0,2,0,7,1.0,0.286
C00170,car,GYU,2026-05-21,4,26.0,48.25,2,2,9,0.5,0.444
C00086,bike,VND,2026-03-29,1,35.0,64.0,0,1,9,0.0,0.111
C00186,car,YVN,2026-05-13,2,14.0,27.0,2,0,7,1.0,0.286
C00119,bike,YVN,2026-05-07,1,32.0,61.0,0,1,9,0.0,0.111
C00035,car,YVN,2026-04-10,3,29.0,49.67,1,2,10,0.3333,0.3
C00145,scooter,VND,2026-04-08,2,18.5,46.5,1,1,8,0.5,0.25
C00057,scooter,VND,2026-05-08,2,30.5,48.0,1,1,6,0.5,0.333
C00256,scooter,DLJ,2026-04-21,4,30.75,55.75,0,4,6,0.0,0.667
C00064,bike,YVN,2026-05-16,2,23.5,46.5,1,1,10,0.5,0.2
C00223,bike,YVN,2026-04-25,2,29.0,54.0,0,2,9,0.0,0.222
C00256,scooter,DLJ,2026-04-22,3,21.0,39.67,2,1,6,0.6667,0.5
C00051,scooter,YVN,2026-05-27,1,29.0,47.0,0,1,10,0.0,0.1
C00271,bike,YVN,2026-05-17,1,21.0,57.0,0,1,9,0.0,0.111
C00161,bike,GYU,2026-04-30,2,16.0,47.5,0,2,6,0.0,0.333
C00182,bike,YVN,2026-05-05,1,36.0,59.0,0,1,10,0.0,0.1
C00259,car,YVN,2026-03-30,1,11.0,49.0,0,1,10,0.0,0.1
C00062,scooter,GYU,2026-04-11,2,34.0,53.0,0,2,10,0.0,0.2
C00232,scooter,GYU,2026-05-12,2,19.0,42.0,1,1,9,0.5,0.222
C00106,scooter,YVN,2026-04-08,1,14.0,34.0,1,0,10,1.0,0.1
C00240,car,YVN,2026-05-01,3,25.33,45.33,2,1,10,0.6667,0.3
C00091,car,YVN,2026-05-03,2,27.5,54.5,0,2,6,0.0,0.333
C00172,bike,YVN,2026-05-21,2,25.0,45.0,1,1,7,0.5,0.286
C00112,bike,YVN,2026-04-08,1,17.0,29.0,1,0,9,1.0,0.111
C00285,scooter,GYU,2026-04-24,1,29.0,48.0,0,1,8,0.0,0.125
C00028,bike,YVN,2026-05-20,3,27.33,55.0,1,2,10,0.3333,0.3
C00103,bike,YVN,2026-05-06,1,13.0,27.0,1,0,9,1.0,0.111
C00298,car,YVN,2026-05-26,2,28.0,49.0,1,1,8,0.5,0.25
C00143,car,KPN,2026-05-27,1,24.0,49.0,0,1,8,0.0,0.125
C00110,scooter,KPN,2026-04-28,1,30.0,60.0,0,1,8,0.0,0.125
C00255,car,YVN,2026-05-18,1,20.0,58.0,0,1,10,0.0,0.1
C00228,scooter,GYU,2026-04-15,1,20.0,47.0,0,1,10,0.0,0.1
C00296,car,YVN,2026-05-09,2,24.5,56.0,0,2,10,0.0,0.2
C00028,bike,YVN,2026-04-25,2,28.5,49.5,1,1,10,0.5,0.2
C00016,car,KPN,2026-04-17,1,33.0,45.0,1,0,6,1.0,0.167
C00030,scooter,YVN,2026-05-19,2,27.5,50.5,0,2,8,0.0,0.25
C00101,car,YVN,2026-05-13,1,40.0,62.0,0,1,7,0.0,0.143
C00023,car,YVN,2026-05-22,1,35.0,51.0,0,1,8,0.0,0.125
C00261,scooter,YVN,2026-04-15,1,18.0,49.0,0,1,6,0.0,0.167
C00026,scooter,YVN,2026-05-05,1,28.0,54.0,0,1,6,0.0,0.167
C00177,scooter,YVN,2026-04-20,3,18.0,33.67,2,1,6,0.6667,0.5
C00238,scooter,YVN,2026-04-29,3,26.0,50.33,1,2,7,0.3333,0.429
C00114,scooter,YVN,2026-05-24,1,20.0,49.0,0,1,10,0.0,0.1
C00190,scooter,YVN,2026-05-05,4,27.5,50.25,2,2,8,0.5,0.5
C00280,bike,YVN,2026-05-22,1,26.0,39.0,1,0,9,1.0,0.111
C00032,scooter,VND,2026-04-21,2,27.0,54.5,0,2,8,0.0,0.25
C00253,car,VND,2026-05-07,1,24.0,40.0,1,0,7,1.0,0.143
C00184,bike,YVN,2026-05-06,2,15.0,27.5,2,0,9,1.0,0.222
C00137,scooter,YVN,2026-05-06,1,23.0,34.0,1,0,7,1.0,0.143
C00038,car,YVN,2026-05-02,2,26.5,59.0,0,2,8,0.0,0.25
C00136,bike,VND,2026-05-17,1,19.0,44.0,1,0,8,1.0,0.125
C00285,scooter,GYU,2026-04-15,1,10.0,34.0,1,0,8,1.0,0.125
C00047,bike,GYU,2026-04-11,2,17.0,34.5,2,0,7,1.0,0.286
C00253,car,VND,2026-05-14,3,25.0,40.0,2,1,7,0.6667,0.429
C00215,car,GYU,2026-03-31,3,20.0,40.67,2,1,9,0.6667,0.333
C00058,car,YVN,2026-05-15,1,38.0,69.0,0,1,9,0.0,0.111
C00118,scooter,VND,2026-05-17,1,14.0,41.0,1,0,9,1.0,0.111
C00089,bike,YVN,2026-04-06,1,12.0,35.0,1,0,8,1.0,0.125
C00008,scooter,YVN,2026-05-11,1,18.0,49.0,0,1,8,0.0,0.125
C00277,bike,YVN,2026-05-11,1,20.0,51.0,0,1,9,0.0,0.111
C00050,car,DLJ,2026-03-29,1,18.0,47.0,0,1,6,0.0,0.167
C00171,scooter,GYU,2026-05-06,2,36.5,55.5,0,2,7,0.0,0.286
C00249,scooter,YVN,2026-05-03,2,11.0,37.5,2,0,8,1.0,0.25
C00135,scooter,YVN,2026-04-06,2,13.0,37.0,2,0,10,1.0,0.2
C00082,bike,YVN,2026-05-11,3,14.67,36.67,2,1,9,0.6667,0.333
C00101,car,YVN,2026-04-28,1,25.0,60.0,0,1,7,0.0,0.143
C00037,scooter,YVN,2026-03-29,1,8.0,39.0,1,0,7,1.0,0.143
C00129,scooter,YVN,2026-05-18,1,16.0,25.0,1,0,8,1.0,0.125
C00168,car,YVN,2026-04-27,3,28.33,51.67,0,3,8,0.0,0.375
C00263,scooter,YVN,2026-05-24,2,29.5,58.5,0,2,8,0.0,0.25
C00272,scooter,GYU,2026-04-24,1,15.0,38.0,1,0,10,1.0,0.1
C00017,bike,YVN,2026-05-07,2,33.0,51.0,0,2,6,0.0,0.333
C00253,car,VND,2026-05-25,2,23.0,45.5,1,1,7,0.5,0.286
C00102,bike,YVN,2026-04-16,1,27.0,55.0,0,1,9,0.0,0.111
C00061,scooter,YVN,2026-04-03,2,24.0,54.0,0,2,10,0.0,0.2
C00268,bike,DLJ,2026-05-13,2,17.5,39.0,2,0,10,1.0,0.2
C00247,car,YVN,2026-05-06,2,24.5,50.0,1,1,6,0.5,0.333
C00232,scooter,GYU,2026-05-13,2,29.5,62.5,0,2,9,0.0,0.222
C00129,scooter,YVN,2026-04-16,2,25.0,46.0,1,1,8,0.5,0.25
C00030,scooter,YVN,2026-04-18,1,9.0,35.0,1,0,8,1.0,0.125
C00100,scooter,YVN,2026-05-16,2,14.0,38.0,2,0,8,1.0,0.25
C00272,scooter,GYU,2026-05-12,1,26.0,47.0,0,1,10,0.0,0.1
C00006,scooter,YVN,2026-05-26,2,34.0,61.0,0,2,10,0.0,0.2
C00141,bike,GYU,2026-05-11,1,24.0,53.0,0,1,6,0.0,0.167
C00171,scooter,GYU,2026-04-27,1,31.0,41.0,1,0,7,1.0,0.143
C00174,car,YVN,2026-04-10,1,12.0,30.0,1,0,8,1.0,0.125
C00177,scooter,YVN,2026-05-09,2,24.5,55.0,1,1,6,0.5,0.333
C00047,bike,GYU,2026-04-03,1,33.0,47.0,0,1,7,0.0,0.143
C00179,scooter,YVN,2026-05-06,1,23.0,54.0,0,1,6,0.0,0.167
C00058,car,YVN,2026-05-08,2,35.5,53.0,0,2,9,0.0,0.222
C00256,scooter,DLJ,2026-05-06,3,24.67,53.33,2,1,6,0.6667,0.5
C00019,bike,YVN,2026-05-16,2,22.0,38.5,1,1,8,0.5,0.25
C00252,bike,KPN,2026-05-02,4,16.25,34.75,3,1,8,0.75,0.5
C00166,scooter,YVN,2026-05-24,1,39.0,68.0,0,1,6,0.0,0.167
C00211,scooter,VND,2026-05-17,2,20.5,45.5,1,1,10,0.5,0.2
C00232,scooter,GYU,2026-05-07,1,35.0,58.0,0,1,9,0.0,0.111
C00225,car,VND,2026-03-30,1,9.0,38.0,1,0,10,1.0,0.1
C00271,bike,YVN,2026-04-22,1,28.0,39.0,1,0,9,1.0,0.111
C00227,bike,YVN,2026-04-03,1,24.0,51.0,0,1,6,0.0,0.167
C00219,scooter,YVN,2026-05-12,2,31.5,54.5,0,2,10,0.0,0.2
C00268,bike,DLJ,2026-04-29,2,20.5,40.0,1,1,10,0.5,0.2
C00179,scooter,YVN,2026-04-22,2,14.0,35.0,1,1,6,0.5,0.333
C00131,bike,VND,2026-05-18,2,18.0,50.5,1,1,7,0.5,0.286
C00242,bike,YVN,2026-03-29,1,38.0,63.0,0,1,8,0.0,0.125
C00262,car,DLJ,2026-05-23,2,28.0,54.0,0,2,7,0.0,0.286
C00004,scooter,KPN,2026-05-10,1,39.0,59.0,0,1,9,0.0,0.111
C00252,bike,KPN,2026-04-08,1,37.0,60.0,0,1,8,0.0,0.125
C00117,car,GYU,2026-05-19,1,33.0,61.0,0,1,6,0.0,0.167
C00060,scooter,YVN,2026-04-17,1,16.0,28.0,1,0,9,1.0,0.111
C00002,car,GYU,2026-04-13,1,39.0,59.0,0,1,8,0.0,0.125
C00134,bike,KPN,2026-04-06,2,24.5,53.5,1,1,6,0.5,0.333
C00199,scooter,VND,2026-05-27,1,33.0,44.0,1,0,7,1.0,0.143
C00001,car,DLJ,2026-04-14,1,30.0,48.0,0,1,7,0.0,0.143
C00292,bike,YVN,2026-05-26,1,23.0,54.0,0,1,7,0.0,0.143
C00017,bike,YVN,2026-04-08,2,31.0,58.5,0,2,6,0.0,0.333
C00262,car,DLJ,2026-03-30,4,24.0,51.75,1,3,7,0.25,0.571
C00159,scooter,YVN,2026-04-16,1,11.0,40.0,1,0,9,1.0,0.111
C00287,scooter,GYU,2026-04-03,2,162.0,184.5,1,1,8,0.5,0.25
C00103,bike,YVN,2026-04-12,1,15.0,29.0,1,0,9,1.0,0.111
C00075,bike,YVN,2026-05-18,1,26.0,53.0,0,1,8,0.0,0.125
C00044,bike,GYU,2026-04-17,2,28.5,54.0,0,2,6,0.0,0.333
C00050,car,DLJ,2026-04-16,5,29.4,48.6,2,3,6,0.4,0.833
C00191,scooter,YVN,2026-04-18,2,26.5,55.5,0,2,9,0.0,0.222
C00092,car,YVN,2026-04-28,2,31.5,55.5,0,2,9,0.0,0.222
C00242,bike,YVN,2026-04-27,1,39.0,65.0,0,1,8,0.0,0.125
C00294,car,YVN,2026-04-12,3,23.0,51.67,1,2,10,0.3333,0.3
C00262,car,DLJ,2026-04-06,1,34.0,69.0,0,1,7,0.0,0.143
C00256,scooter,DLJ,2026-05-03,2,36.0,56.0,0,2,6,0.0,0.333
C00164,bike,YVN,2026-03-29,1,20.0,43.0,1,0,7,1.0,0.143
C00214,car,YVN,2026-05-13,2,20.5,38.5,2,0,10,1.0,0.2
C00246,car,GYU,2026-05-19,2,27.0,50.0,1,1,8,0.5,0.25
C00155,bike,GYU,2026-04-08,3,18.67,50.33,1,2,10,0.3333,0.3
C00282,scooter,YVN,2026-05-23,1,30.0,57.0,0,1,10,0.0,0.1
C00280,bike,YVN,2026-05-02,2,35.0,55.0,0,2,9,0.0,0.222
C00122,bike,VND,2026-05-03,1,39.0,77.0,0,1,8,0.0,0.125
C00115,scooter,YVN,2026-04-04,1,29.0,44.0,1,0,8,1.0,0.125
C00184,bike,YVN,2026-05-04,1,23.0,47.0,0,1,9,0.0,0.111
C00048,scooter,KPN,2026-05-23,1,29.0,47.0,0,1,7,0.0,0.143
C00274,bike,YVN,2026-04-30,3,14.33,34.67,3,0,7,1.0,0.429
C00108,bike,GYU,2026-04-17,1,20.0,39.0,1,0,10,1.0,0.1
C00116,scooter,YVN,2026-04-19,2,28.0,55.0,0,2,7,0.0,0.286
C00145,scooter,VND,2026-04-16,2,23.0,52.0,1,1,8,0.5,0.25
C00111,car,YVN,2026-04-11,1,23.0,36.0,1,0,7,1.0,0.143
C00090,scooter,GYU,2026-04-16,1,35.0,69.0,0,1,7,0.0,0.143
C00016,car,KPN,2026-04-21,2,31.0,60.0,0,2,6,0.0,0.333
C00190,scooter,YVN,2026-05-25,2,17.5,40.0,1,1,8,0.5,0.25
C00247,car,YVN,2026-03-29,1,12.0,37.0,1,0,6,1.0,0.167
C00190,scooter,YVN,2026-05-02,3,22.67,37.67,3,0,8,1.0,0.375
C00069,car,DLJ,2026-05-03,2,24.0,44.5,1,1,7,0.5,0.286
C00057,scooter,VND,2026-05-16,2,25.5,56.0,0,2,6,0.0,0.333
C00172,bike,YVN,2026-04-24,2,20.5,37.0,2,0,7,1.0,0.286
C00069,car,DLJ,2026-05-15,2,22.0,40.5,2,0,7,1.0,0.286
C00293,car,KPN,2026-04-08,2,23.5,46.5,1,1,8,0.5,0.25
C00273,scooter,VND,2026-04-01,2,34.0,58.5,0,2,8,0.0,0.25
C00083,scooter,GYU,2026-04-13,1,29.0,44.0,1,0,10,1.0,0.1
C00019,bike,YVN,2026-05-21,1,18.0,32.0,1,0,8,1.0,0.125
C00252,bike,KPN,2026-04-23,2,35.0,56.5,0,2,8,0.0,0.25
C00029,scooter,VND,2026-05-01,2,32.0,53.5,0,2,10,0.0,0.2
C00033,scooter,YVN,2026-04-28,2,20.5,45.0,1,1,8,0.5,0.25
