payment_id,order_id,method,amount,status,ts,gateway_ref
P0000001,O0000001,wallet,59.88,success,2026-05-03 01:32:49.783370,8714c8bdb707436c
P0000002,O0000002,cash,27.96,success,2026-05-26 02:01:25.885064,24f1347795ff4efc
P0000003,O0000003,card,27.87,success,2026-04-20 04:15:22.644444,9e0b97ec86544840
P0000004,O0000004,cash,66.43,failed,2026-05-24 05:07:43.276937,776e9fd61c774b08
P0000005,O0000005,wallet,67.58,success,2026-05-02 09:19:00.331836,682c86166d2a49af
P0000006,O0000006,cash,34.04,success,2026-04-06 22:35:56.751388,a1b08ca2624f4402
P0000007,O0000007,card,43.72,success,2026-05-06 18:09:33.289754,8355701d74c845a2
P0000008,O0000008,cash,77.17,success,2026-04-09 08:46:34.205011,93f1028159ff4598
P0000009,O0000009,wallet,41.86,success,2026-05-16 10:06:46.589066,b277091b31614f42
P0000010,O0000010,card,45.63,success,2026-04-20 22:08:08.937721,9ae21bda758c4413
P0000011,O0000011,wallet,18.61,success,2026-04-16 09:51:31.227992,c3a4a36244264906
P0000012,O0000012,card,22.97,success,2026-04-20 12:47:06.212644,1ea9aff628774ed8
P0000013,O0000013,card,7.17,success,2026-04-01 15:27:25.173451,806c26ce17bf454d
P0000014,O0000014,cash,38.45,success,2026-05-13 18:44:45.492345,b566913eaa234fab
P0000015,O0000015,card,65.95,success,2026-04-30 06:11:30.704953,45c7d06ee57f47ad
P0000016,O0000016,wallet,79.94,success,2026-05-24 00:21:54.334367,6e3b09c75e7a4d6a
P0000017,O0000017,card,57.38,refunded,2026-04-02 04:43:53.179130,0d5f0f69b95a40b0
P0000018,O0000018,card,52.64,success,2026-04-10 15:43:45.313903,eab72123b433446b
P0000019,O0000019,card,29.63,refunded,2026-04-10 15:18:33.264356,3485c5baa7f04a67
P0000020,O0000021,card,71.94,success,2026-05-15 05:46:09.337951,b4ddcf34411b459b
P0000021,O0000022,card,32.79,success,2026-04-21 04:57:24.363812,65c4e10b525940a2
P0000022,O0000023,cash,22.57,success,2026-04-09 11:53:20.530384,883f5fe74e454d97
P0000023,O0000024,card,42.71,refunded,2026-03-29 10:17:15.914361,0edb4412337f4dfa
P0000024,O0000025,cash,44.87,success,2026-05-08 07:59:27.033597,1a948a13d8fd4dc5
P0000025,O0000026,card,5.15,success,2026-05-27 12:31:33.817182,cfb8febe86e64d18
P0000026,O0000027,card,42.17,failed,2026-05-18 15:54:50.614439,cda5394878964c3e
P0000027,O0000029,card,43.74,success,2026-05-23 00:35:17.229546,02b5f548b8f74cbf
P0000028,O0000030,wallet,43.98,success,2026-04-04 11:25:14.946770,52617cc5d5c34d89
P0000029,O0000031,wallet,33.3,success,2026-04-24 18:55:19.893039,ba18e247c46e41dd
P0000030,O0000032,card,9.93,success,2026-05-23 03:36:48.243760,37915af3a7cc432e
P0000031,O0000033,card,39.82,success,2026-05-13 02:52:36.046369,b1a0b5b713d046f3
P0000032,O0000034,wallet,35.93,success,2026-04-29 00:50:58.634895,5e417fd3eada4da7
